"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 25 20:51:27 GMT 2023","Mon Dec 25 20:51:29 GMT 2023","1471","","com.bilgin.RestAssuredTest","","com.bilgin.RestAssuredTest","userListTest","userListTest()","Assertion for user list response from real test api"
"broken","Mon Dec 25 20:51:25 GMT 2023","Mon Dec 25 20:51:26 GMT 2023","1409","","com.bilgin.RestAssuredWithMockServerTest","","com.bilgin.RestAssuredWithMockServerTest","restAssuredWithMockServerTest","restAssuredWithMockServerTest()","Assertion for single user response from mock test api"
"passed","Mon Dec 25 20:51:26 GMT 2023","Mon Dec 25 20:51:27 GMT 2023","1143","","com.bilgin.RestAssuredTest","","com.bilgin.RestAssuredTest","singleUserTest","singleUserTest()","Assertion for single user response from real test api"
