"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 08 20:33:43 GMT 2023","Fri Dec 08 20:33:45 GMT 2023","2007","","com.bilgin.RestAssuredTest","","com.bilgin.RestAssuredTest","userListTest","userListTest()","Assertion for user list response from real test api"
"passed","Fri Dec 08 20:33:42 GMT 2023","Fri Dec 08 20:33:43 GMT 2023","1359","","com.bilgin.RestAssuredTest","","com.bilgin.RestAssuredTest","singleUserTest","singleUserTest()","Assertion for single user response from real test api"
"passed","Fri Dec 08 20:33:52 GMT 2023","Fri Dec 08 20:33:54 GMT 2023","2232","","com.bilgin.RestAssuredWithMockServerTest","","com.bilgin.RestAssuredWithMockServerTest","restAssuredWithMockServerTest","restAssuredWithMockServerTest()","Assertion for single user response from mock test api"
